"","ResponseID","Sample","Condition","JOL1"
"82","R_2xys9LeB0Lxp7rA",2,0,20
"83","R_2ZDFzDgaSw8XTiW",2,0,80
"84","R_3DjT5Xu41RNyQHP",2,0,20
"85","R_3fC1t7t7LhdvC89",2,0,25
"86","R_3MoOHnnhKxk6kQs",2,0,26
"87","R_3n1t0EFW8vmqdcw",2,0,24
"88","R_3OjpX8CrayhMr8U",2,0,53
"89","R_3R2C8MH4X8kCW0r",2,0,0
"90","R_3snnrYHptwl07wF",2,0,40
"91","R_3suyQZ7R4shYnZu",2,0,60
"92","R_51JFvmLyKhUG2fn",2,0,20
"93","R_5dowe6gVjkw5FJL",2,0,83
"94","R_D8fFPAKcdvHxetb",2,0,10
"95","R_DnSFcYO0SOYr5kZ",2,0,50
"96","R_DSQGoS5szopJhpn",2,0,5
"97","R_eyugQPkMcKs9Vnz",2,0,1
"98","R_pRzjMGEDDjTVd6x",2,0,14
"99","R_qx92y2YEnahfdgB",2,0,73
"100","R_rrkGTlXQ3VKlVLP",2,0,10
"101","R_TqhJiUJBkRC8KLT",2,0,5
"102","R_vGnl1AAMcWjuh0d",2,0,58
"103","R_XtyCPI2tFlF0xxv",2,0,20
"104","R_yKPkj2KiBCiS61b",2,0,41
"105","R_11i1dAXR7NEO5Xb",2,0,75
"106","R_1C8tjb4NsGqDWSn",2,0,20
"107","R_1gCM9rJaXppiFxT",2,0,22
"108","R_1gMleSpmZbEBrdP",2,0,20
"109","R_1HjUz80PQ09J2h5",2,0,33
"110","R_1IQPuZ7LetXPy79",2,0,10
"111","R_1IsDhCej96SadW8",2,0,30
"112","R_1JEdjsF3RSQnIAt",2,0,8
"113","R_1LFHc3hKHmwWIkY",2,0,10
"114","R_1n1IaL1ooQiYuDp",2,0,30
"115","R_1rAfuV2oCRUZ70D",2,0,80
"116","R_22VPPsmDH6uip2z",2,0,80
"117","R_23fX5TjTd5AGlbg",2,0,20
"118","R_24H0r2HhEH0KZl1",2,0,30
"119","R_2cuOEoPoOmGtQtP",2,0,10
"120","R_2U9NIk7flexy1ht",2,0,50
"121","R_2wHmLbDvW4GM6Oo",2,0,72
"122","R_2YDF0XQtPe6NdJU",2,0,90
"123","R_330XR5dClqEpcNC",2,0,55
"124","R_3nlyCU9xNdiNeEz",2,0,50
"125","R_3oNM68LaGtFnilV",2,0,13
"126","R_3p8ZjWo5fwknpdL",2,0,50
"127","R_4NqjTFFKDBVgwQ9",2,0,5
"128","R_73VmtJJFYgCTuUx",2,0,65
"129","R_9QWKEc6RGYhUUrn",2,0,10
"130","R_bOs6mHFiqHKLYbL",2,0,50
"131","R_CmP6FnpvzHRErZL",2,0,10
"132","R_ebtvpcJElgFqVmp",2,0,50
"133","R_eVsRvrnKWZNEE8h",2,0,100
"134","R_ezl3urMpZpLwwSJ",2,0,10
"135","R_YVsbfnuMRP5muGJ",2,0,50
"136","R_ZgABIRJEAP737lD",2,0,20
